id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
33952,41,SavedShot,1.0005,0.44548000564575196,0.0832841992378234,Luis Suárez,h,2098,OpenPlay,2014,LeftFoot,5718,Barcelona,Celta Vigo,0,1,2014-11-01 19:00:00,Neymar,TakeOn
33962,69,SavedShot,1.0614500350952147,0.36186001129150386,0.4309990108013153,Luis Suárez,h,2098,OpenPlay,2014,Head,5718,Barcelona,Celta Vigo,0,1,2014-11-01 19:00:00,Pedro,Cross
33969,83,SavedShot,0.9924500350952148,0.30858000564575194,0.0801127031445503,Luis Suárez,h,2098,OpenPlay,2014,RightFoot,5718,Barcelona,Celta Vigo,0,1,2014-11-01 19:00:00,Pedro,Pass
33970,84,MissedShots,0.997049964904785,0.2434600112915039,0.0524916984140872,Luis Suárez,h,2098,OpenPlay,2014,RightFoot,5718,Barcelona,Celta Vigo,0,1,2014-11-01 19:00:00,Lionel Messi,Chipped
34647,60,ShotOnPost,1.1017000350952146,0.4247600112915039,0.1019809991121292,Luis Suárez,a,2098,FromCorner,2014,RightFoot,5726,Almeria,Barcelona,1,2,2014-11-08 15:00:00,,None
34651,75,MissedShots,1.0418999824523922,0.23384000282287598,0.1112670004367828,Luis Suárez,a,2098,OpenPlay,2014,RightFoot,5726,Almeria,Barcelona,1,2,2014-11-08 15:00:00,Ivan Rakitic,Throughball
33505,13,SavedShot,1.0303999824523924,0.3478,0.4688200056552887,Luis Suárez,a,2098,OpenPlay,2014,RightFoot,5753,Valencia,Barcelona,0,1,2014-11-30 20:00:00,Neymar,Pass
33513,56,MissedShots,1.014299964904785,0.4114399887084961,0.0362370014190673,Luis Suárez,a,2098,FromCorner,2014,Head,5753,Valencia,Barcelona,0,1,2014-11-30 20:00:00,Xavi,Cross
33514,57,MissedShots,1.0971000175476076,0.2597399887084961,0.3019759953022003,Luis Suárez,a,2098,OpenPlay,2014,LeftFoot,5753,Valencia,Barcelona,0,1,2014-11-30 20:00:00,,None
34251,35,MissedShots,0.9464500350952147,0.2789800056457519,0.0442906990647316,Luis Suárez,h,2098,OpenPlay,2014,LeftFoot,5692,Barcelona,Espanyol,5,1,2014-12-07 16:00:00,Xavi,Pass
